epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9402,0.6214,2.28197,6.12587,0.00747,4.52476,0.00302,1,0.37813,0.35176,0.00302,1,0.37813,0.34831,0.33682,0.76283,9.13117,0.00861,0,0.00038,0.00038,0.00038
2,44.6557,0.62553,0.68691,4.62775,0.00799,0.94481,0.00302,1,0.75345,0.66027,0.00302,1,0.75345,0.66518,0.64202,1.21738,9.31494,0.01762,0,0.000777426,0.000777426,0.000777426
3,54.1679,0.68437,0.6031,3.43581,0.00831,0.7103,0.9225,0.58621,0.81521,0.66946,0.9225,0.58621,0.80562,0.59758,0.60009,1.74965,8.85256,0.01419,0,0.00117221,0.00117221,0.00117221
4,63.4514,0.68343,0.50641,2.64058,0.00847,0.53717,1,0.49301,0.91787,0.7784,1,0.49301,0.88356,0.74389,0.63072,3.52849,6.5916,0.01438,0,0.00156436,0.00156436,0.00156436
5,72.8076,0.74797,0.56102,2.15725,0.00942,0.48145,0.90862,0.68588,0.88958,0.74489,0.81294,0.59982,0.71441,0.55733,0.69334,11.1126,3.03287,0.01728,0,0.00195386,0.00195386,0.00195386
6,82.1813,0.81776,0.52983,1.77706,0.01102,0.4255,0.69014,0.55172,0.65476,0.4031,0.80923,0.73158,0.82656,0.56372,1.3033,1.3967,3.48048,0.03515,0,0.001967,0.001967,0.001967
7,91.3284,0.83542,0.59508,1.45127,0.01083,0.51919,0.91445,0.86207,0.9606,0.57739,0.8761,0.65517,0.68772,0.18305,1.21834,12.5341,1.64776,0.03222,0,0.0019604,0.0019604,0.0019604
8,100.512,0.77166,0.50383,1.15656,0.01023,0.47624,0.61374,0.89655,0.85114,0.67729,0.61374,0.89655,0.85114,0.73679,0.75677,0.93246,1.15625,0.01981,0,0.0019538,0.0019538,0.0019538
9,109.729,0.75073,0.57285,1.03903,0.00969,0.52372,0.62063,0.7931,0.77888,0.53795,0.62063,0.7931,0.77903,0.60692,0.96008,0.73516,1.38196,0.02873,0,0.0019472,0.0019472,0.0019472
10,118.987,0.74492,0.5756,0.94201,0.00956,0.47768,0.86907,0.91581,0.97261,0.7557,0.86907,0.91581,0.97261,0.86742,0.87292,0.49698,0.7018,0.02399,0,0.0019406,0.0019406,0.0019406
11,128.196,0.77359,0.51804,0.79848,0.00983,0.44088,0.76178,0.88238,0.91984,0.78612,0.76178,0.88238,0.91984,0.8506,0.69245,1.06107,0.85223,0.01745,0,0.001934,0.001934,0.001934
12,137.459,0.74378,0.51889,0.76189,0.00953,0.52435,1,0.92816,0.98414,0.81269,1,0.92816,0.98414,0.86714,0.67114,0.79562,0.40297,0.0193,0,0.0019274,0.0019274,0.0019274
13,146.758,0.76353,0.47967,0.68256,0.00997,0.27271,0.91558,1,0.98238,0.78153,0.91558,1,0.98238,0.89735,0.83705,0.44931,0.38412,0.02305,0,0.0019208,0.0019208,0.0019208
