epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,44.174,1.96692,3.51204,10.3339,0.00887,4.92233,0.00172,0.51515,0.00298,0.00115,0.00152,0.45455,0.00244,0.00064,1.34449,3.31267,10.2048,0.00757,0,0.00056,0.00056,0.00056
2,58.8107,1.33506,2.23926,7.9483,0.00555,3.39319,0.00207,0.62121,0.22626,0.12367,0.00278,0.83333,0.23246,0.15264,1.28545,3.06075,9.87395,0.00755,0,0.00113059,0.00113059,0.00113059
3,73.8628,1.36143,1.92515,6.04035,0.00572,2.21243,0.6249,0.35606,0.47616,0.22681,0.6249,0.35606,0.47877,0.24745,1.69567,3.53451,8.47377,0.00929,0,0.00169162,0.00169162,0.00169162
4,89.8396,1.50382,1.89324,4.65905,0.0062,1.54532,0.6728,0.57637,0.67376,0.39658,0.68164,0.58395,0.68608,0.37112,1.40421,2.6063,4.43943,0.00755,0,0.0019505,0.0019505,0.0019505
5,104.86,1.45018,1.85402,3.84418,0.00595,1.38897,0.69641,0.76515,0.74728,0.44938,0.69641,0.76515,0.74563,0.45566,1.33911,2.29158,2.86452,0.00681,0,0.001934,0.001934,0.001934
6,119.829,1.48075,1.75665,3.15675,0.00622,1.19862,0.68361,0.62201,0.66915,0.41035,0.68361,0.62201,0.66386,0.38801,1.38806,2.72769,2.38789,0.00725,0,0.0019175,0.0019175,0.0019175
7,134.609,1.4136,1.80173,2.64984,0.00569,1.19536,0.78144,0.71212,0.74496,0.45925,0.77036,0.70455,0.73095,0.43463,1.26385,2.33343,1.72325,0.00662,0,0.001901,0.001901,0.001901
8,149.423,1.35716,1.67307,2.30098,0.00569,0.99582,0.70042,0.62121,0.69676,0.43539,0.67858,0.60779,0.65978,0.41482,1.35534,2.12731,1.5683,0.00724,0,0.0018845,0.0018845,0.0018845
9,164.19,1.37894,1.61164,2.03089,0.00534,0.95002,0.81692,0.72727,0.79542,0.51441,0.81692,0.72727,0.79366,0.47384,1.34985,2.39079,1.28684,0.00711,0,0.001868,0.001868,0.001868
10,179.055,1.39468,1.53494,1.77302,0.00547,0.93101,0.80243,0.64618,0.77593,0.51506,0.81164,0.65287,0.78014,0.51294,1.4114,2.30325,1.25213,0.00792,0,0.0018515,0.0018515,0.0018515
11,193.736,1.43099,1.57845,1.66543,0.00608,0.85913,0.87448,0.78788,0.8853,0.53068,0.87448,0.78788,0.88211,0.57717,1.47922,1.84785,0.88165,0.00811,0,0.001835,0.001835,0.001835
12,208.568,1.41277,1.54223,1.53145,0.0059,0.82379,0.80935,0.84848,0.89597,0.5718,0.81886,0.87121,0.90105,0.56412,1.25583,1.67139,0.7755,0.00666,0,0.0018185,0.0018185,0.0018185
13,223.357,1.38155,1.40886,1.39743,0.0059,0.84573,0.77912,0.85606,0.87282,0.59598,0.77912,0.85606,0.87661,0.58979,1.19072,1.87316,0.78801,0.00637,0,0.001802,0.001802,0.001802
14,238.241,1.35418,1.52668,1.39785,0.00543,0.89991,0.77634,0.68939,0.83102,0.56985,0.75928,0.67424,0.80333,0.55317,1.06523,1.56686,0.9251,0.00563,0,0.0017855,0.0017855,0.0017855
15,252.51,1.31846,1.46506,1.28622,0.00505,0.9262,0.67056,0.80186,0.82125,0.54673,0.67056,0.80186,0.80871,0.54213,1.19428,1.71235,1.13367,0.00616,0,0.001769,0.001769,0.001769
16,266.567,1.33622,1.38601,1.20915,0.00558,0.7508,0.83486,0.93939,0.94527,0.59862,0.83486,0.93939,0.94482,0.63716,1.34846,1.58498,0.87577,0.00745,0,0.0017525,0.0017525,0.0017525
17,281.505,1.30629,1.45514,1.11323,0.0054,0.69594,0.8211,0.83333,0.89089,0.62923,0.8211,0.83333,0.89089,0.57815,1.19908,1.70656,0.90354,0.00605,0,0.001736,0.001736,0.001736
18,295.84,1.2821,1.50742,1.11789,0.00537,0.76667,0.9289,0.84091,0.95457,0.64612,0.87036,0.86461,0.95272,0.6416,1.31445,1.63736,0.56712,0.00665,0,0.0017195,0.0017195,0.0017195
19,310.449,1.25045,1.31754,0.98463,0.00496,0.71892,0.90793,0.8218,0.92772,0.66628,0.91432,0.8084,0.91828,0.63217,1.18207,1.48001,0.61073,0.00601,0,0.001703,0.001703,0.001703
